namespace,pvc,phase,storage_class,access_modes,requested_size,pv,csi_driver,longhorn_desired_replicas,longhorn_state,longhorn_robustness,replica_objects,running_nonfailed_replica_count,replica_physical_hosts,consumers,backup_policy,backup_exempt,backup_exempt_reason,last_success,backup_age_hours,backup_cron,schedule_consecutive_failures,latest_snapshot_state,latest_snapshot_failure_class
ninfer,ninfer-models-pvc,Bound,,"[""ReadWriteMany""]",150Gi,ninfer-nfs-pv,nfs.csi.k8s.io,,,,[],0,[],[],,true,"NFS-backed NInfer model artifact; non-snapshottable, re-downloadable from huggingface.co/neroued/Qwen3.8-27B-NInfer (SHA-pinned download Job)",,,,,,
open-webui,storage,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-3ba67300-bdc0-4d79-b203-b30d0df2cb97,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-06T10:45:50Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""open-webui-5b8cccd7c7-psqb9""]",storage,,,2026-09-08T03:07:22.937477184+00:00,20.58,5 3 * * *,0,Succeeded,
paperless-ngx,data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-a228be69-568d-47a4-aff7-5c9723dbee0a,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:29:06Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""paperless-ngx-54b85b896f-fdtz8""]",data,,,2026-09-08T23:21:01.364081527+00:00,0.35,19 * * * *,0,Succeeded,
paperless-ngx,media,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-6a1fc255-2f2d-4cbe-8fd5-e15c21acbce7,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:42Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""paperless-ngx-54b85b896f-fdtz8""]",media,,,2026-09-08T23:22:51.681848517+00:00,0.32,21 * * * *,0,Succeeded,
paperless-ngx,paperless-consume-pvc,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-79006549-e004-478f-a437-b43ba8266b6b,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:25:33Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""paperless-ngx-54b85b896f-fdtz8""]",,true,Paperless consume inbox; transient — files move to /media after ingestion,,,,,,
paperless-ngx,paperless-export-pvc,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-338c3033-2890-4a14-978b-b61ca77a918e,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:28:02Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""paperless-ngx-54b85b896f-fdtz8""]",,true,Paperless export staging dir; content is rebuildable from /media which has backup=hourly,,,,,,
paperless-ngx,paperless-postgres-data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-9b9fe087-af32-4698-8ce2-060f81aeb3ab,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:24:49Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""paperless-postgres-64c6bbdbb4-jbgsn""]",paperless-postgres-data,,,2026-09-08T23:05:42.901059321+00:00,0.6,4 * * * *,0,Succeeded,
perplexica,perplexica-data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-e50d9f7f-90cb-4af3-b090-7f12767b48e8,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T03:01:57Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""perplexica-8466744bb8-mhjth""]",perplexica-data,,,2026-09-07T03:10:54.787887511+00:00,44.52,7 3 * * *,0,Failed,PermissionDenied
posthog,clickhouse-data-clickhouse-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",40Gi,pvc-b6f57566-14bc-4bf8-b3e1-dd6e7eaca6c1,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:45:18Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""clickhouse-5c7f8c46d7-qzj28""]",,true,regenerable from PostHog ingest; 100Gi too large for current Kopia/RustFS S3 path,,,,,,
posthog,postgres-data,Bound,longhorn-flash,"[""ReadWriteOnce""]",8Gi,pvc-718053c1-a5de-4e2b-8e68-744809c2c50e,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:52:43Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""db-75644b5c7d-sbffg""]",postgres-data,,,2026-09-08T03:54:27.081635080+00:00,19.79,51 3 * * *,0,Succeeded,
posthog,redis7-data,Bound,longhorn-flash,"[""ReadWriteOnce""]",4Gi,pvc-6cfe1849-1ac2-4b7e-af52-b4751cf9a64e,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T05:30:37Z"", ""healthy_at"": ""2026-08-24T12:45:16Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""redis7-8487f45695-c86rs""]",,true,"PostHog data is disposable/rebuildable in this homelab; do not back up. Valkey cache (allkeys-lru, no RDB/AOF) — nothing to preserve.",,,,,,
posthog,redpanda-data-kafka-0,Bound,longhorn-flash,"[""ReadWriteOnce""]",8Gi,pvc-d70d1d84-cfc2-44c6-a30c-588cfb88920f,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/mnt/longhorn-ssd-flash"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-06T01:07:13Z"", ""healthy_at"": ""2026-08-24T12:45:16Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""kafka-6dfc899bc-6wlh2""]",,true,PostHog data is disposable/rebuildable in this homelab; do not back up. Redpanda runs --unsafe-bypass-fsync with ~1h retention + auto_create_topics — log is ephemeral/rebuildable.,,,,,,
presenton,presenton-data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-6291506c-2267-4ce2-8c05-119d85614f8e,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T03:01:27Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""presenton-6b87666468-gd4fh""]",presenton-data,,,2026-09-08T03:36:40.118725176+00:00,20.09,35 3 * * *,0,Succeeded,
project-nomad,embeddings-model-cache,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-6dda5ae4-4ea1-4240-be53-c0cb3a7480aa,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:42:40Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""embeddings-587d4f9fd4-kpnqn""]",,true,Sentence-transformer model cache; downloads on demand from HuggingFace,,,,,,
project-nomad,flatnotes-data,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-c0fa0e0c-6d79-4dd6-9ba9-d745f9f9c4db,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:06Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""flatnotes-85db694f78-vxjrs""]",flatnotes-data,,,2026-09-08T03:25:06.998615732+00:00,20.28,23 3 * * *,0,Succeeded,
