namespace,pvc,phase,storage_class,access_modes,requested_size,pv,csi_driver,longhorn_desired_replicas,longhorn_state,longhorn_robustness,replica_objects,running_nonfailed_replica_count,replica_physical_hosts,consumers,backup_policy,backup_exempt,backup_exempt_reason,last_success,backup_age_hours,backup_cron,schedule_consecutive_failures,latest_snapshot_state,latest_snapshot_failure_class
comfyui,comfyui-storage-smb,Bound,,"[""ReadWriteMany""]",250Gi,comfyui-smb-pv,smb.csi.k8s.io,,,,[],0,[],[],,true,"SMB-backed ComfyUI model and workspace cache; non-snapshottable, rebuildable from upstream model registries",,,,,,
consumers-energy-sync,consumers-energy-sync-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-cde9b219-6038-4b04-b757-2d59a5f2fa5d,driver.longhorn.io,1,detached,unknown,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T17:17:39Z"", ""active"": true}]",0,"[""threadripper/192.168.10.14""]",[],,true,Playwright cookie jar plus re-downloadable CSVs; the data of record is Home Assistant's statistics,,,,,,
copyparty,copyparty-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-0d5642cd-6268-4db7-9a32-38f631106346,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:16:18Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""copyparty-ccf798b7b-vfd75""]",copyparty-data,,,2026-09-08T03:33:12.561673396+00:00,20.15,31 3 * * *,0,Succeeded,
coroot,data-coroot-clickhouse-keeper-0,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-0f05a2cb-9960-4d09-a31d-9caded0435bc,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T22:57:31Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-0""]",,,,,,,,,
coroot,data-coroot-clickhouse-keeper-1,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-4313143a-81f9-4078-a1f1-9ee4b3f38f33,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:20:56Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-1""]",,,,,,,,,
coroot,data-coroot-clickhouse-keeper-2,Bound,longhorn,"[""ReadWriteOnce""]",2Gi,pvc-29395be5-3add-4377-ba94-5692d7202a64,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:23:05Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-keeper-2""]",,,,,,,,,
coroot,data-coroot-clickhouse-shard-0-0,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-f2f7c176-5b44-4e1c-a4f6-820cbfbec801,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:19:41Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-clickhouse-shard-0-0""]",,,,,,,,,
coroot,data-coroot-coroot-0,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-fd947edd-1601-4fbe-bebf-64563fbb2a9d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:19:06Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-coroot-0""]",,,,,,,,,
coroot,data-coroot-prometheus,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-b444215c-474d-43c1-9472-4ed2e3f822a4,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-sff-workers-rldgrj"", ""physical_host"": ""hp-medium/192.168.10.21"", ""disk_path"": ""/var/mnt/longhorn-hp-sff-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:22:01Z"", ""active"": true}]",1,"[""hp-medium/192.168.10.21""]","[""coroot-prometheus-9ddf46c9d-bxb7s""]",,,,,,,,,
deal-scout,deal-scout-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-ac4a3d04-7ea4-4646-87a9-246a1426f52d,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:37Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""deal-scout-6c7d99cdcf-jqh7r""]",deal-scout-data,,,2026-09-08T03:56:50.781348234+00:00,19.75,55 3 * * *,0,Succeeded,
dozzle,dozzle-data,Bound,longhorn,"[""ReadWriteOnce""]",1Gi,pvc-2a15fc46-6f90-4b41-852d-bcd49811559c,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-06T22:31:26Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""dozzle-664bb4dcbf-qc2j9""]",,true,Dozzle stores only UI/cloud/notification config in /data; Kubernetes logs are streamed live and not persisted here,,,,,,
frigate,frigate-config,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-95481079-049e-4242-9a4d-712f02a3a1f8,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:03Z"", ""healthy_at"": ""2026-09-08T00:45:17Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""frigate-5b9dc8f8d8-pn4h4""]",frigate-config,,,2026-09-08T03:11:33.282978768+00:00,20.51,9 3 * * *,0,Succeeded,
frigate,frigate-media,Bound,frigate-smb,"[""ReadWriteMany""]",1Ti,pvc-9274d30e-1e74-4a64-adc2-c2b97a0736b7,smb.csi.k8s.io,,,,[],0,[],"[""frigate-5b9dc8f8d8-pn4h4""]",,true,"SMB-backed Frigate recordings (NAS); non-snapshottable, retention managed by Frigate config and NAS",,,,,,
frigate,mosquitto-storage-pvc,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-bcf5e69a-768f-42b9-bfd0-d095c5e8e1b9,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:03Z"", ""healthy_at"": ""2026-09-05T22:43:38Z"", ""active"": true}, {""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": """", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22"", ""threadripper/192.168.10.14""]","[""mosquitto-7f866859c-gv2gr""]",,true,MQTT broker — retained messages and ACLs rebuild on client reconnect; not worth backing up,,,,,,
gitea-actions,act-runner-docker-cache,Bound,longhorn,"[""ReadWriteOnce""]",50Gi,pvc-dc550062-6102-4317-b923-11c088e672b9,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-06T00:23:05Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""act-runner-577d8fb6bf-g7nk5""]",,true,Docker layer cache for the act-runner DinD sidecar; rebuilds from registries on next CI run,,,,,,
gitea,gitea-postgres-data,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-64853c9e-5177-49e9-8792-862069464a18,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:41:07Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""gitea-postgres-65fc4884ff-n8x87""]",gitea-postgres-data,,,2026-09-08T23:14:57.432705291+00:00,0.45,13 * * * *,0,Succeeded,
gitea,gitea-shared-storage,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-68313b71-8e2a-4e4e-8343-ff625bf55257,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-08T23:40:35Z"", ""active"": true}]",1,"[""threadripper/192.168.10.14""]","[""gitea-5bbdc8b965-25vr7""]",gitea-shared-storage,,,2026-09-08T03:49:28.503979627+00:00,19.88,47 3 * * *,0,Succeeded,
hindsight,hindsight-db-pvc,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-70a6fd25-089e-45eb-9e40-f5fba5d837ce,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:24:52Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""hindsight-db-666999b8b-ptqff""]",hindsight-db-pvc,,,2026-09-08T03:59:00.861404659+00:00,19.72,57 3 * * *,0,Succeeded,
home-assistant,config,Bound,longhorn,"[""ReadWriteOnce""]",10Gi,pvc-bd127f7c-21ca-4aff-b358-6147f1a795f1,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:02Z"", ""healthy_at"": ""2026-09-02T05:20:26Z"", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22""]","[""home-assistant-5c8b67c95f-znwzz""]",config,,,2026-09-08T23:19:26.824506262+00:00,0.38,15 * * * *,0,Succeeded,
homepage-dashboard,config,Bound,longhorn,"[""ReadWriteOnce""]",5Gi,pvc-33c7ddad-24c8-46bf-a216-f658ef17c724,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-07T03:01:18Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""homepage-dashboard-fc768f9d6-7lcj2""]",config,,,2026-09-08T03:34:36.175723713+00:00,20.12,33 3 * * *,0,Succeeded,
immich,immich-ml-cache,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-bc3c659d-1fd3-4140-a0ba-e4b0a91c0c2e,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-dell-workers-nkq6qd"", ""physical_host"": ""dell/192.168.10.16"", ""disk_path"": ""/var/mnt/longhorn-dell-ssd"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": ""2026-09-05T23:35:35Z"", ""active"": true}]",1,"[""dell/192.168.10.16""]","[""immich-machine-learning-85f94bc7bd-b889c""]",,true,Immich ML model cache; downloads on demand if missing,,,,,,
immich,immich-postgres-data,Bound,longhorn,"[""ReadWriteOnce""]",20Gi,pvc-acf1460b-07f7-4061-88f8-41baebedf008,driver.longhorn.io,1,attached,healthy,"[{""node"": ""talos-prod-cluster-v2-hp-elite-workers-rgkw5s"", ""physical_host"": ""hp-elite-mini/192.168.10.22"", ""disk_path"": ""/var/mnt/longhorn-hp-elite-nvme"", ""state"": ""running"", ""failed_at"": """", ""last_failed_at"": ""2026-09-08T23:38:02Z"", ""healthy_at"": ""2026-09-05T22:54:24Z"", ""active"": true}, {""node"": ""talos-prod-cluster-v2-gpu-workers-7ct4kq"", ""physical_host"": ""threadripper/192.168.10.14"", ""disk_path"": ""/var/lib/longhorn"", ""state"": ""stopped"", ""failed_at"": """", ""last_failed_at"": """", ""healthy_at"": """", ""active"": true}]",1,"[""hp-elite-mini/192.168.10.22"", ""threadripper/192.168.10.14""]","[""immich-postgres-98d5754fb-c6xft""]",immich-postgres-data,,,2026-09-08T23:25:12.944459674+00:00,0.28,23 * * * *,0,Succeeded,
